time,lat,lon,alt,speed,heading,sat,accz,pitch,gyro,battery,temp,hum,pressure,status
1271.017,25.005338,121.0194324,42.0,20.6,137.3,11,0.58,2.13,-36.3,8.083,24.06,85.2,103397.0,0
1271.117,24.9796736,121.0286107,119.2,11.0,188.3,11,-1.51,-21.77,-7.6,7.365,22.18,45.0,100586.0,0
1271.217,24.9949807,121.0041839,157.1,28.0,285.4,8,-1.76,-21.19,-26.4,7.622,33.33,77.0,104225.0,0
1271.317,24.9863586,121.0242019,284.8,20.9,291.3,12,0.55,12.36,29.3,8.192,24.44,72.3,103910.0,0
1271.417,24.9990597,120.9745229,63.8,57.0,121.6,10,0.82,-18.88,8.6,8.11,29.12,66.7,96181.0,0
1271.517,24.9845798,121.015833,80.0,19.5,275.4,10,-1.69,-2.2,41.1,7.487,31.45,48.2,103465.0,0
1271.617,24.9787472,120.9727289,56.2,38.0,81.8,9,-0.82,21.22,-36.5,7.203,24.49,51.9,102257.0,0
1271.717,24.970707,121.0201981,104.7,16.2,83.3,14,-0.92,17.65,28.4,8.283,34.27,42.0,104749.0,0
1271.817,24.9708896,120.9725153,114.0,79.2,167.9,5,1.1,-9.36,-33.1,7.437,25.13,40.7,103134.0,0
1271.917,24.9771639,121.0102918,259.5,48.4,253.3,7,1.55,7.02,-16.2,8.251,20.54,66.9,103451.0,0
1272.017,24.9914508,121.0124681,172.1,37.5,302.7,11,0.44,-26.92,45.0,7.211,21.3,50.5,100408.0,0
1272.117,24.973856,121.012694,106.4,43.1,105.1,5,1.24,-5.43,24.8,7.772,22.9,84.4,104819.0,0
1272.217,25.0017047,120.9731158,90.2,18.5,277.3,6,-0.86,-1.47,-25.4,8.2,26.83,81.5,95901.0,0
1272.317,24.9937403,121.0094371,292.3,2.9,164.0,6,-0.24,1.68,-48.3,8.143,32.35,38.7,95188.0,0
1272.417,25.0171378,121.0118619,151.1,52.7,173.7,6,-0.09,5.6,10.7,7.998,24.47,66.4,102236.0,0
1272.517,24.9838025,120.9957397,49.2,50.4,135.8,14,1.57,-5.7,-12.3,8.255,28.23,83.9,101372.0,0
1272.617,25.0179502,121.02427,251.5,37.1,339.9,14,-0.72,-10.29,-11.9,7.659,20.74,59.1,96054.0,0
1272.717,25.0138793,120.9952225,103.4,7.7,338.3,12,1.9,19.74,-29.5,7.978,20.18,81.4,99084.0,0
1272.817,25.0249968,120.9825913,74.7,18.2,231.0,9,0.73,11.5,10.9,7.572,22.73,89.6,103500.0,0
1272.917,25.0199737,120.9988436,32.1,41.9,301.2,6,-1.88,-7.27,33.9,8.14,28.25,48.7,95312.0,0
1273.017,25.0219176,121.0261576,174.1,58.1,318.4,9,-1.36,-0.27,-23.3,7.975,21.65,56.8,102204.0,0
1273.117,24.988581,120.9999855,34.3,23.1,332.8,14,-1.43,15.76,10.7,7.35,28.77,78.3,100965.0,0
1273.217,24.9749507,121.0241985,6.2,47.5,57.6,14,0.9,25.29,37.0,7.613,29.62,87.2,102339.0,0
1273.317,24.974611,121.0149394,45.2,53.9,303.0,11,-1.54,7.46,-25.3,8.149,20.62,73.2,98385.0,0
1273.417,24.9800729,120.9939749,233.0,71.6,262.5,6,0.5,23.03,45.9,7.708,21.52,35.2,97208.0,0
1273.517,24.9908958,120.9732204,269.6,69.4,359.8,6,-1.2,-11.81,-16.3,7.708,31.26,51.0,95995.0,0
1273.617,24.9719352,120.9729109,58.0,75.7,220.6,9,0.48,-5.27,-4.7,7.995,30.98,54.5,100606.0,0
1273.717,25.0077737,121.0272345,289.9,72.3,152.8,6,-0.54,-11.34,-49.4,7.585,30.72,54.2,95223.0,0
1273.817,25.0065586,121.0271135,241.0,75.6,141.4,6,-0.98,-1.29,14.7,7.537,28.32,30.7,96798.0,0
1273.917,25.0149216,120.9733025,156.6,37.8,167.1,13,-1.45,6.96,43.0,7.528,23.33,33.3,98846.0,0
1274.017,24.9862904,121.0054757,163.3,61.6,175.9,12,-0.08,-1.8,-5.4,8.063,23.01,70.7,96185.0,0
1274.117,25.0141128,120.9893105,49.4,6.2,280.2,8,-0.59,-24.52,40.5,7.412,30.53,61.4,100612.0,0
1274.217,25.010134,121.0097321,32.5,73.3,201.3,10,1.95,1.98,-37.0,8.351,28.26,79.4,101793.0,0
1274.317,25.0278929,120.979664,283.2,17.1,124.5,12,1.77,-16.88,-40.1,7.546,24.06,72.3,103930.0,0
1274.417,24.9712404,120.9782215,102.2,2.5,229.2,12,-0.34,-14.55,31.1,8.214,30.76,37.2,97353.0,0
1274.517,25.0136788,121.0069726,125.2,65.8,28.6,10,0.99,-2.04,25.5,7.445,25.29,84.4,103740.0,0
1274.617,24.9763961,121.0270149,246.7,38.5,124.5,8,-0.54,-26.02,-13.4,8.215,33.39,58.7,102893.0,0
1274.717,25.0078323,121.0172421,66.9,68.9,324.4,12,-1.16,-20.66,-13.9,7.312,24.73,83.7,96463.0,0
1274.817,24.9746645,121.0068363,26.2,2.6,273.7,5,-1.86,9.86,18.1,7.498,25.55,71.6,100992.0,0
1274.917,25.0051953,120.9851979,240.8,38.3,344.0,14,-0.46,19.04,-5.0,7.401,28.09,85.8,98769.0,0
1275.017,24.9825324,121.0233985,9.7,14.4,327.9,6,1.76,5.54,-42.1,7.455,29.95,85.4,99069.0,0
1275.117,24.9878452,121.0064045,150.9,43.7,314.9,12,-0.8,-17.8,-13.0,7.485,23.52,71.2,95757.0,0
1275.217,25.0061123,121.0017731,86.3,42.2,280.9,9,-1.31,5.95,-47.5,8.155,22.76,48.3,104922.0,0
1275.317,24.9997661,120.9923923,204.1,67.0,48.7,6,0.61,25.93,-31.9,7.343,31.62,80.3,103637.0,0
1275.417,24.9754936,121.0275298,29.8,78.8,253.6,10,-0.77,17.09,-42.3,7.529,33.59,79.7,95460.0,0
1275.517,24.9832075,120.987764,51.4,37.6,153.8,12,-1.5,-10.02,49.4,7.959,23.61,87.0,95707.0,0
1275.617,24.971439,121.01635,238.4,69.5,316.2,7,0.68,-16.2,24.5,7.578,31.54,75.9,97025.0,0
1275.717,24.9852674,120.9794799,21.0,4.7,94.8,14,0.54,-10.94,32.7,7.741,31.15,80.6,103933.0,0
1275.817,25.0180962,121.0003351,38.3,0.8,107.2,11,0.67,-12.84,-38.0,7.398,20.25,39.9,104197.0,0
1275.917,24.9772454,121.0243308,254.3,47.0,231.0,10,0.18,-24.24,-46.7,7.568,32.46,74.9,95618.0,0
1276.017,24.9711266,121.0086053,3.9,76.1,159.4,13,-1.82,-0.47,36.0,7.667,21.56,42.9,98783.0,0
1276.117,25.0037266,121.0274952,79.8,53.6,178.3,14,-1.2,6.82,-14.3,8.017,24.1,71.7,99461.0,0
1276.217,25.0210772,120.979558,243.1,45.1,202.4,5,1.37,15.36,25.2,7.452,20.71,35.4,101316.0,0
1276.317,24.9961544,120.9833416,174.9,24.2,58.7,9,0.29,2.83,9.2,8.233,32.98,41.7,99906.0,0
1276.417,24.9910235,120.9870203,28.3,43.7,163.8,9,1.59,-17.25,40.7,7.475,34.81,54.4,102348.0,0
1276.517,24.9954,120.993126,238.7,34.5,321.7,13,-0.78,-21.75,-21.0,7.665,31.78,57.3,103522.0,0
1276.617,24.9992378,121.0176906,278.9,37.5,358.8,13,-0.32,5.83,10.1,8.149,23.27,49.1,101487.0,0
1276.717,25.0293841,120.9744787,208.8,3.7,260.7,5,-0.94,6.72,35.2,7.494,21.57,39.6,102372.0,0
1276.817,25.0132609,120.9727261,4.9,47.6,187.6,12,-1.84,-20.48,47.9,7.637,22.5,41.6,99732.0,0
1276.917,25.0190904,121.0228223,114.7,19.0,334.1,13,-0.97,20.73,44.9,7.862,23.7,43.2,95244.0,0
1277.017,25.0279388,120.9761467,289.6,10.6,268.1,11,0.69,-9.1,41.6,8.33,23.02,77.0,99674.0,0
1277.117,24.971763,121.0086377,276.7,77.3,98.5,13,-0.52,-8.03,-7.4,7.653,27.76,62.5,98690.0,0
1277.217,24.9789927,120.9931014,141.6,37.0,161.5,5,0.31,-6.56,-39.9,7.704,20.86,58.1,99326.0,0
1277.317,24.9832817,120.9863418,147.6,42.9,311.7,12,1.05,-25.33,-9.8,7.868,28.2,36.8,96807.0,0
1277.417,24.9928154,120.9838013,180.8,22.3,100.7,6,1.51,-18.97,-1.0,8.235,20.18,34.1,97996.0,0
1277.517,25.0298869,121.0134944,169.0,5.6,325.1,8,1.67,16.86,-48.4,8.192,20.77,85.8,97227.0,0
1277.617,25.0255238,120.9810304,211.2,60.0,79.3,10,-1.4,-11.55,11.7,7.919,24.08,57.4,104896.0,0
1277.717,24.9949743,120.9755398,25.3,66.7,31.3,13,1.08,-28.43,10.7,8.319,26.38,80.2,97079.0,0
1277.817,25.013731,120.9962116,134.5,64.6,342.3,7,-1.0,-11.29,43.6,7.969,34.15,56.0,102619.0,0
1277.917,25.022978,120.9861848,286.6,53.4,35.1,13,-0.32,14.27,-32.5,7.402,22.38,45.1,95589.0,0
1278.017,25.0175402,120.9807473,232.0,0.1,0.6,11,0.2,4.92,36.6,7.802,21.54,74.2,95279.0,0
1278.117,24.988471,121.0042283,178.9,44.2,6.6,11,1.24,-3.95,44.9,8.224,22.25,78.8,95241.0,0
1278.217,24.9911718,120.9977476,166.5,54.5,83.9,8,-0.29,-17.2,47.0,7.623,23.55,81.9,98953.0,0
1278.317,24.9710368,120.984064,179.3,19.0,210.7,12,-0.79,-8.68,35.0,7.474,27.5,73.3,101515.0,0
