# GPS drift 10-minute recording
# start_unix=1778552787
host_elapsed_s,status,samples,lat,lon,sat,hdop,drift_m,east_m,north_m,avg_m,rms_m,max_m,fix_age_ms,raw
13.327,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,33948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=33948"
14.319,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,34948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=34948"
15.319,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,35948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=35948"
16.324,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,36948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=36948"
17.321,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,37948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=37948"
18.327,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,38948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=38948"
19.317,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,39948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=39948"
20.324,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,40948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=40948"
21.322,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,41948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=41948"
22.322,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,42948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=42948"
23.318,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,43948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=43948"
24.328,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,44948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=44948"
25.327,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,45948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=45948"
26.319,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,46948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=46948"
27.326,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,47948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=47948"
28.326,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,48948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=48948"
29.316,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,49948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=49948"
30.325,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,50948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=50948"
31.317,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,51948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=51948"
32.322,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,52948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=52948"
33.322,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,53948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=53948"
34.322,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,54948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=54948"
35.318,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,55948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=55948"
36.324,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,56948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=56948"
37.319,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,57948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=57948"
38.318,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,58948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=58948"
39.325,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,59948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=59948"
40.319,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,60948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=60948"
41.327,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,61948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=61948"
42.318,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,62948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=62948"
43.318,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,63948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=63948"
44.328,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,64948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=64948"
45.322,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,65948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=65948"
46.323,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,66948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=66948"
47.319,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,67948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=67948"
48.317,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,68948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=68948"
49.319,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,69948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=69948"
50.323,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,70948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=70948"
51.317,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,71948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=71948"
52.322,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,72948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=72948"
53.316,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,73948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=73948"
54.317,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,74948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=74948"
55.321,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,75948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=75948"
56.317,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,76948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=76948"
57.327,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,77948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=77948"
58.322,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,78948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=78948"
59.318,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,79948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=79948"
60.323,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,80948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=80948"
61.326,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,81948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=81948"
62.315,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,82948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=82948"
63.322,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,83948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=83948"
64.322,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,84948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=84948"
65.315,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,85948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=85948"
66.323,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,86948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=86948"
67.319,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,87948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=87948"
68.318,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,88948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=88948"
69.317,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,89948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=89948"
70.314,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,90948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=90948"
71.324,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,91948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=91948"
72.314,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,92948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=92948"
73.326,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,93948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=93948"
74.315,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,94948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=94948"
75.316,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,95948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=95948"
76.321,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,96948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=96948"
77.320,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,97948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=97948"
78.324,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,98948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=98948"
79.318,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,99948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=99948"
80.318,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,100948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=100948"
81.321,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,101948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=101948"
82.325,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,102948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=102948"
83.315,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,103948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=103948"
84.317,TRACK,50,22.78623950,120.27032017,12,0.85,0.600,-0.060,0.600,0.420,0.420,0.600,104948,"status=TRACK samples=50 drift=0.60m east=-0.06m north=0.60m avg=0.42m rms=0.42m max=0.60m lat=22.78623950 lon=120.27032017 sat=12 hdop=0.85 gps_baud=38400 fix_age_ms=104948"
