# GPS drift 5-minute recording
# start_unix=1778582036
host_elapsed_s,status,samples,lat,lon,alt_m,sat,hdop,drift_m,east_m,north_m,avg_m,rms_m,max_m,fix_age_ms,raw
3.170,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,979,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=979"
3.268,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,1079,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=1079"
3.366,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,1179,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=1179"
3.461,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,1279,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=1279"
3.567,TRACK,361,22.786194500,120.269678333,37.10,12,0.63,1.214,1.076,0.562,2.442,2.882,4.726,1379,"status=TRACK samples=361 drift=1.214m east=1.076m north=0.562m avg=2.442m rms=2.882m max=4.726m lat=22.786194500 lon=120.269678333 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=1379"
3.665,TRACK,362,22.786194500,120.269679000,37.10,12,0.63,1.275,1.144,0.562,2.439,2.878,4.726,65,"status=TRACK samples=362 drift=1.275m east=1.144m north=0.562m avg=2.439m rms=2.878m max=4.726m lat=22.786194500 lon=120.269679000 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=65"
3.762,TRACK,362,22.786194500,120.269679000,37.10,12,0.63,1.275,1.144,0.562,2.439,2.878,4.726,165,"status=TRACK samples=362 drift=1.275m east=1.144m north=0.562m avg=2.439m rms=2.878m max=4.726m lat=22.786194500 lon=120.269679000 sat=12 hdop=0.63 alt=37.10m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=165"
3.862,TRACK,364,22.786194500,120.269678833,36.90,12,0.63,1.260,1.127,0.562,2.433,2.872,4.726,41,"status=TRACK samples=364 drift=1.260m east=1.127m north=0.562m avg=2.433m rms=2.872m max=4.726m lat=22.786194500 lon=120.269678833 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=41"
3.969,TRACK,366,22.786194500,120.269679000,36.90,12,0.63,1.275,1.144,0.562,2.426,2.866,4.726,49,"status=TRACK samples=366 drift=1.275m east=1.144m north=0.562m avg=2.426m rms=2.866m max=4.726m lat=22.786194500 lon=120.269679000 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=49"
4.065,TRACK,368,22.786194500,120.269679000,36.90,12,0.63,1.275,1.144,0.562,2.420,2.859,4.726,45,"status=TRACK samples=368 drift=1.275m east=1.144m north=0.562m avg=2.420m rms=2.859m max=4.726m lat=22.786194500 lon=120.269679000 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=45"
4.159,TRACK,370,22.786194500,120.269679000,36.90,12,0.63,1.275,1.144,0.562,2.414,2.853,4.726,41,"status=TRACK samples=370 drift=1.275m east=1.144m north=0.562m avg=2.414m rms=2.853m max=4.726m lat=22.786194500 lon=120.269679000 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=41"
4.267,TRACK,372,22.786194500,120.269679000,36.90,12,0.63,1.275,1.144,0.562,2.408,2.847,4.726,49,"status=TRACK samples=372 drift=1.275m east=1.144m north=0.562m avg=2.408m rms=2.847m max=4.726m lat=22.786194500 lon=120.269679000 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=49"
4.362,TRACK,374,22.786194500,120.269679000,36.90,12,0.63,1.275,1.144,0.562,2.402,2.841,4.726,49,"status=TRACK samples=374 drift=1.275m east=1.144m north=0.562m avg=2.402m rms=2.841m max=4.726m lat=22.786194500 lon=120.269679000 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=49"
4.461,TRACK,376,22.786194500,120.269679000,36.90,12,0.63,1.275,1.144,0.562,2.396,2.835,4.726,26,"status=TRACK samples=376 drift=1.275m east=1.144m north=0.562m avg=2.396m rms=2.835m max=4.726m lat=22.786194500 lon=120.269679000 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=26"
4.567,TRACK,378,22.786194500,120.269679000,36.90,12,0.63,1.275,1.144,0.562,2.390,2.829,4.726,39,"status=TRACK samples=378 drift=1.275m east=1.144m north=0.562m avg=2.390m rms=2.829m max=4.726m lat=22.786194500 lon=120.269679000 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=39"
4.671,TRACK,380,22.786194500,120.269679000,36.90,12,0.63,1.275,1.144,0.562,2.384,2.823,4.726,47,"status=TRACK samples=380 drift=1.275m east=1.144m north=0.562m avg=2.384m rms=2.823m max=4.726m lat=22.786194500 lon=120.269679000 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=47"
4.768,TRACK,382,22.786194500,120.269679000,36.90,12,0.63,1.275,1.144,0.562,2.378,2.817,4.726,55,"status=TRACK samples=382 drift=1.275m east=1.144m north=0.562m avg=2.378m rms=2.817m max=4.726m lat=22.786194500 lon=120.269679000 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=55"
4.864,TRACK,384,22.786194500,120.269679000,36.90,12,0.63,1.275,1.144,0.562,2.372,2.811,4.726,51,"status=TRACK samples=384 drift=1.275m east=1.144m north=0.562m avg=2.372m rms=2.811m max=4.726m lat=22.786194500 lon=120.269679000 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=51"
4.962,TRACK,386,22.786194500,120.269679167,36.90,12,0.63,1.290,1.162,0.562,2.367,2.806,4.726,59,"status=TRACK samples=386 drift=1.290m east=1.162m north=0.562m avg=2.367m rms=2.806m max=4.726m lat=22.786194500 lon=120.269679167 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=59"
5.069,TRACK,388,22.786194500,120.269679167,36.90,12,0.63,1.290,1.162,0.562,2.361,2.800,4.726,55,"status=TRACK samples=388 drift=1.290m east=1.162m north=0.562m avg=2.361m rms=2.800m max=4.726m lat=22.786194500 lon=120.269679167 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=55"
5.168,TRACK,390,22.786194500,120.269679167,36.90,12,0.63,1.290,1.162,0.562,2.356,2.794,4.726,51,"status=TRACK samples=390 drift=1.290m east=1.162m north=0.562m avg=2.356m rms=2.794m max=4.726m lat=22.786194500 lon=120.269679167 sat=12 hdop=0.63 alt=36.90m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=51"
5.266,TRACK,392,22.786194333,120.269679333,36.80,12,0.63,1.298,1.179,0.544,2.350,2.789,4.726,59,"status=TRACK samples=392 drift=1.298m east=1.179m north=0.544m avg=2.350m rms=2.789m max=4.726m lat=22.786194333 lon=120.269679333 sat=12 hdop=0.63 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=59"
5.365,TRACK,394,22.786194333,120.269679333,36.80,12,0.65,1.298,1.179,0.544,2.345,2.783,4.726,59,"status=TRACK samples=394 drift=1.298m east=1.179m north=0.544m avg=2.345m rms=2.783m max=4.726m lat=22.786194333 lon=120.269679333 sat=12 hdop=0.65 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=59"
5.464,TRACK,396,22.786194333,120.269679333,36.80,12,0.63,1.298,1.179,0.544,2.340,2.778,4.726,17,"status=TRACK samples=396 drift=1.298m east=1.179m north=0.544m avg=2.340m rms=2.778m max=4.726m lat=22.786194333 lon=120.269679333 sat=12 hdop=0.63 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=17"
5.559,TRACK,396,22.786194333,120.269679333,36.80,12,0.63,1.298,1.179,0.544,2.340,2.778,4.726,117,"status=TRACK samples=396 drift=1.298m east=1.179m north=0.544m avg=2.340m rms=2.778m max=4.726m lat=22.786194333 lon=120.269679333 sat=12 hdop=0.63 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=117"
5.668,TRACK,398,22.786194500,120.269679333,36.80,12,0.63,1.306,1.179,0.562,2.335,2.772,4.726,55,"status=TRACK samples=398 drift=1.306m east=1.179m north=0.562m avg=2.335m rms=2.772m max=4.726m lat=22.786194500 lon=120.269679333 sat=12 hdop=0.63 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=55"
5.767,TRACK,400,22.786194333,120.269679333,36.80,12,0.63,1.298,1.179,0.544,2.329,2.767,4.726,64,"status=TRACK samples=400 drift=1.298m east=1.179m north=0.544m avg=2.329m rms=2.767m max=4.726m lat=22.786194333 lon=120.269679333 sat=12 hdop=0.63 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=64"
5.863,TRACK,402,22.786194500,120.269679333,36.80,12,0.63,1.306,1.179,0.562,2.324,2.761,4.726,60,"status=TRACK samples=402 drift=1.306m east=1.179m north=0.562m avg=2.324m rms=2.761m max=4.726m lat=22.786194500 lon=120.269679333 sat=12 hdop=0.63 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=60"
5.963,TRACK,404,22.786194500,120.269679333,36.80,12,0.63,1.306,1.179,0.562,2.319,2.756,4.726,68,"status=TRACK samples=404 drift=1.306m east=1.179m north=0.562m avg=2.319m rms=2.756m max=4.726m lat=22.786194500 lon=120.269679333 sat=12 hdop=0.63 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=68"
6.060,TRACK,406,22.786194500,120.269679333,36.80,12,0.63,1.306,1.179,0.562,2.314,2.751,4.726,64,"status=TRACK samples=406 drift=1.306m east=1.179m north=0.562m avg=2.314m rms=2.751m max=4.726m lat=22.786194500 lon=120.269679333 sat=12 hdop=0.63 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=64"
6.167,TRACK,408,22.786194500,120.269679333,36.80,12,0.63,1.306,1.179,0.562,2.309,2.746,4.726,59,"status=TRACK samples=408 drift=1.306m east=1.179m north=0.562m avg=2.309m rms=2.746m max=4.726m lat=22.786194500 lon=120.269679333 sat=12 hdop=0.63 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=59"
6.259,TRACK,409,22.786194500,120.269679333,36.80,12,0.63,1.306,1.179,0.562,2.307,2.743,4.726,84,"status=TRACK samples=409 drift=1.306m east=1.179m north=0.562m avg=2.307m rms=2.743m max=4.726m lat=22.786194500 lon=120.269679333 sat=12 hdop=0.63 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=84"
6.371,TRACK,411,22.786194500,120.269679500,36.80,12,0.63,1.321,1.196,0.562,2.302,2.738,4.726,71,"status=TRACK samples=411 drift=1.321m east=1.196m north=0.562m avg=2.302m rms=2.738m max=4.726m lat=22.786194500 lon=120.269679500 sat=12 hdop=0.63 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=71"
6.464,TRACK,413,22.786194500,120.269679500,36.80,12,0.63,1.321,1.196,0.562,2.297,2.733,4.726,17,"status=TRACK samples=413 drift=1.321m east=1.196m north=0.562m avg=2.297m rms=2.733m max=4.726m lat=22.786194500 lon=120.269679500 sat=12 hdop=0.63 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=17"
6.559,TRACK,413,22.786194500,120.269679500,36.80,12,0.63,1.321,1.196,0.562,2.297,2.733,4.726,117,"status=TRACK samples=413 drift=1.321m east=1.196m north=0.562m avg=2.297m rms=2.733m max=4.726m lat=22.786194500 lon=120.269679500 sat=12 hdop=0.63 alt=36.80m gps_baud=38400 gps_rx_pin=45 gps_tx_pin=35 pin_mode=normal_rx45_tx35 fix_age_ms=117"
